Box,Year,Date,File,Time,Sex,Combo,Band,BreedID,Scorer,TapeType,Experiment,BroodSize,Nage,Visit,FileLength,FileStart,TimeON,TimeIn,TimeOut,TimeOFF,0:48:20,TripTime,TripSec,LogTripSec,AtBox,AtBoxSec,LogAtBox,InBox,InBoxSec,LogInBox,LoadSize,Loadmm,LogLoad,NumItems,PreyType,Fecalsac,Notes
C2,2013,4/28/2013,1,8:37,F,PG,234101182,4072,JL,Normal,Control,3,1,1,0:58:46,0:00:00,0:01:39,0:01:40,0:09:59,0:10:06,O,,,,0:08:27,507,2.71,0:08:19,499,2.70,,,,,too fast,,
C2,2013,4/28/2013,1,8:37,F,,234101182,4072,JL,Normal,Control,3,1,2,0:58:46,0:00:00,0:19:08,0:19:10,0:25:36,0:25:39,,0:09:02,542,2.73,0:06:31,391,2.59,0:06:26,386,2.59,,,,,too fast,,
C2,2013,4/28/2013,1,8:37,F,,234101182,4072,JL,Normal,Control,3,1,3,0:58:46,0:00:00,0:31:26,0:31:33,0:34:35,0:34:40,,0:05:47,347,2.54,0:03:14,194,2.29,0:03:02,182,2.26,0.3,65.4,1.8,1,bit,,
C2,2013,4/28/2013,1,8:37,F,,234101182,4072,JL,Normal,Control,3,1,4,0:58:46,0:00:00,0:38:10,0:38:20,0:44:35,0:44:36,,0:03:30,210,2.32,0:06:26,386,2.59,0:06:15,375,2.57,,,,,inside the bill,,
C2,2013,4/28/2013,1,8:37,F,,234101182,4072,JL,Normal,Control,3,1,5,0:58:46,0:00:00,0:47:40,0:47:47,0:48:20,0:48:27,,0:03:04,184,2.26,0:00:47,47,1.67,0:00:33,33,1.52,,,,,,,
C2,2013,4/28/2013,1,8:37,F,,234101182,4072,JL,Normal,Control,3,1,6,0:58:46,0:00:00,0:51:30,0:51:31,0:52:50,0:53:00,,0:03:03,183,2.26,0:01:30,90,1.95,0:01:19,79,1.90,0.3,65.4,1.8,1,bit,,
C2,2013,4/28/2013,1,8:37,F,,234101182,4072,JL,Normal,Control,3,1,6.1,0:58:46,0:00:00,0:53:44,,,0:53:48,,,,,0:00:04,4,0.60,,,,,,,,,,
C2,2013,4/28/2013,1,8:37,F,,234101182,4072,JL,Normal,Control,3,1,7,0:58:46,0:00:00,0:57:12,0:57:30,0:10:17,0:10:19,O,0:04:08,248,2.39,0:11:53,713,2.85,0:11:33,693,2.84,,,,,inside the bill,,
C2,2013,4/28/2013,2,8:37,F,,234101182,4072,JL,Normal,Control,3,1,8,0:57:33,0:58:46,0:17:58,0:17:59,0:20:38,0:20:43,,0:07:39,459,2.66,0:02:45,165,2.22,0:02:39,159,2.20,,,,,too fast,,
C2,2013,4/28/2013,2,8:37,F,,234101182,4072,JL,Normal,Control,3,1,9,0:57:33,0:58:46,0:22:19,0:22:20,0:22:37,0:22:45,,0:01:36,96,1.98,0:00:26,26,1.41,0:00:17,17,1.23,,,,,too fast,,
